,bins,all_data,sub_selection
0,0.0,2.1849335364286597,2.1716242792101044
1,0.4417848587036133,0.044604251772204236,0.047603944470797015
2,0.8835697174072266,0.015267994943647977,0.017381443911911338
3,1.3253545761108398,0.007583210713204,0.009952914554702635
4,1.7671394348144531,0.004432834708554602,0.006306580380544735
5,2.2089242935180664,0.0027549936164216406,0.003900525739183331
6,2.6507091522216797,0.001715055415764749,0.0028136376680401106
7,3.092494010925293,0.0010117424880462893,0.0016390973330950179
8,3.5342788696289062,0.0005623121054372382,0.0009817053545809733
9,3.9760637283325195,0.00030555760223200046,0.000534678809191423
10,4.417848587036133,0.00016512050784666166,0.0003506090552074904
11,4.859633445739746,8.973885502172845e-05,0.00015339146165327706
12,5.301418304443359,5.024114870055755e-05,0.0001008001033721535
13,5.743203163146973,2.8096322568352603e-05,8.326965061177898e-05
14,6.184988021850586,1.632170850062933e-05,3.067829233065542e-05
15,6.626772880554199,9.516596545371696e-06,3.506090552074905e-05
16,7.0685577392578125,5.609325509445588e-06,1.3147839570280891e-05
17,7.510342597961426,3.374084871776149e-06,8.765226380187262e-06
18,7.952127456665039,2.0519902472722697e-06,4.382613190093631e-06
19,8.393912315368652,1.3604012032874685e-06,8.765226380187262e-06
20,8.835697174072266,8.090970626858116e-07,4.382613190093631e-06
21,9.277482032775879,5.212800653388436e-07,4.382613190093631e-06
22,9.719266891479492,3.2871185848080004e-07,4.382613190093631e-06
23,10.161051750183105,2.2466290800105073e-07,0.0
24,10.602836608886719,1.2164927046139844e-07,0.0
25,11.044621467590332,1.0197832459955528e-07,0.0
26,11.486406326293945,6.4707058756063e-08,0.0
27,11.928191184997559,3.83065787835893e-08,0.0
28,12.369976043701172,2.5365167032376696e-08,4.382613190093631e-06
29,12.811760902404785,1.6047350571503625e-08,0.0
30,13.253545761108398,1.29414117512126e-08,0.0
31,13.695330619812012,6.7295341106305514e-09,0.0
32,14.137115478515625,6.211877640582047e-09,0.0
33,14.578900337219238,4.658908230436536e-09,0.0
34,15.020685195922852,1.0353129400970081e-09,0.0
35,15.462470054626465,1.0353129400970081e-09,0.0
36,15.904254913330078,1.0353151750162731e-09,0.0
37,16.346038818359375,5.176553525936959e-10,0.0
38,16.787824630737305,1.0353107051873917e-09,0.0
39,17.229610443115234,0.0,0.0
40,17.67139434814453,0.0,0.0
41,18.113178253173828,0.0,0.0
42,18.554964065551758,0.0,0.0
43,18.996749877929688,0.0,0.0
44,19.438533782958984,0.0,0.0
45,19.88031768798828,0.0,0.0
46,20.32210350036621,0.0,0.0
47,20.76388931274414,0.0,0.0
48,21.205673217773438,0.0,0.0
49,21.647457122802734,5.176553525936959e-10,0.0
50,22.089242935180664,0.0,0.0
