,bins,all_data,sub_selection
0,0.0,0.4840759453647029,0.4830275490067065
1,2.050457715988159,0.002224565118145828,0.002891334492694663
2,4.100915431976318,0.000663476948665203,0.0008045124997425305
3,6.151372909545898,0.00029209342742476084,0.0003814823642152242
4,8.201830863952637,0.00015515298780629098,0.0002162362906071444
5,10.252288818359375,9.185333661407266e-05,0.00013219692037165907
6,12.302745819091797,5.848246687081709e-05,7.648532549859693e-05
7,14.353203773498535,3.885252038284453e-05,4.438037405474143e-05
8,16.403661727905273,2.6677689273515738e-05,3.682628496067646e-05
9,18.454118728637695,1.8754814507048576e-05,1.7940993933037072e-05
10,20.50457763671875,1.3345917792771304e-05,1.9829538055748864e-05
11,22.555034637451172,9.666441532680567e-06,1.3219692037165908e-05
12,24.605491638183594,7.0639235868576616e-06,7.5541027086471885e-06
13,26.65595054626465,5.1406467791561335e-06,9.44263716940422e-06
14,28.70640754699707,3.840515123808189e-06,1.8885256771617971e-06
15,30.756866455078125,2.851096930459232e-06,1.888527433880844e-06
16,32.80732345581055,2.098472126826697e-06,3.777054867761688e-06
17,34.85778045654297,1.5813116617863628e-06,3.777054867761688e-06
18,36.90823745727539,1.178652123777767e-06,1.8885239204460183e-06
19,38.95869827270508,8.803516499041414e-07,9.44263716940422e-07
20,41.0091552734375,6.57085942697432e-07,9.44263716940422e-07
21,43.05961227416992,4.971711110893206e-07,9.44263716940422e-07
22,45.110069274902344,3.6380624190845337e-07,0.0
23,47.160526275634766,2.587339967813289e-07,0.0
24,49.21098327636719,1.9528024837333852e-07,0.0
25,51.261444091796875,1.4689612416309206e-07,9.44263716940422e-07
26,53.3119010925293,1.0825003985779846e-07,0.0
27,55.36235809326172,7.729216861058716e-08,0.0
28,57.41281509399414,5.52526245107513e-08,0.0
29,59.46327209472656,3.8133465824085e-08,0.0
30,61.51373291015625,2.6037414890038646e-08,0.0
31,63.56418991088867,2.039939198077831e-08,0.0
32,65.6146469116211,1.3121192541620645e-08,0.0
33,67.66510772705078,8.713324342876852e-09,0.0
34,69.71556091308594,5.432993786764798e-09,0.0
35,71.76602172851562,4.202897624211187e-09,0.0
36,73.81647491455078,2.767751551748105e-09,0.0
37,75.86693572998047,2.767751551748105e-09,0.0
38,77.91739654541016,1.947684264878355e-09,0.0
39,79.96784973144531,6.150559003884677e-10,0.0
40,82.018310546875,7.175678870604465e-10,0.0
41,84.06876373291016,0.0,0.0
42,86.11922454833984,1.0250931673141129e-10,0.0
43,88.16968536376953,2.0501939630298475e-10,0.0
44,90.22013854980469,1.0250931673141129e-10,0.0
45,92.27059936523438,1.0250969815149237e-10,0.0
46,94.32105255126953,0.0,0.0
47,96.37151336669922,0.0,0.0
48,98.42196655273438,0.0,0.0
49,100.47242736816406,1.0250931673141129e-10,0.0
50,102.52288818359375,0.0,0.0
