,bins,all_data,sub_selection
0,0.0,1.0302416845076043,1.0269709009821912
1,0.962385892868042,0.004940247418198341,0.006071751039576409
2,1.924771785736084,0.0017575839601611128,0.0024282980466430503
3,2.887157678604126,0.0008435245716396476,0.0013459249322321464
4,3.849543571472168,0.0004637295264599298,0.0007363354307319062
5,4.811929702758789,0.00027569044701876986,0.0005230800733536314
6,5.774315357208252,0.00017351308910936767,0.00034000204767986044
7,6.736701011657715,0.00011378255233920702,0.00020118454391582138
8,7.699087142944336,7.687077048337415e-05,0.0001347936444236003
9,8.661473274230957,5.303454589593572e-05,8.852119932296139e-05
10,9.623859405517578,3.777539838727955e-05,7.242650758057627e-05
11,10.586244583129883,2.724707809616623e-05,5.0296135978955344e-05
12,11.548630714416504,1.987389479584339e-05,3.4201372465689625e-05
13,12.511016845703125,1.471689631375099e-05,2.0118474327937855e-05
14,13.47340202331543,1.117017941028204e-05,1.8106608952423923e-05
15,14.43578815460205,8.444903743898901e-06,1.4082918074107495e-05
16,15.398174285888672,6.356070767445518e-06,6.035542298381356e-06
17,16.360559463500977,4.822191201431371e-06,6.035530336579779e-06
18,17.322946548461914,3.7013377532780975e-06,6.035542298381356e-06
19,18.28533172607422,2.7840242422503592e-06,4.023686891053185e-06
20,19.247718811035156,2.0316187986660097e-06,6.035542298381356e-06
21,20.21010398864746,1.567286228684937e-06,0.0
22,21.172489166259766,1.149253594000266e-06,2.0118434455265927e-06
23,22.134876251220703,8.723162203689575e-07,2.0118474327937856e-06
24,23.097261428833008,6.100098155960186e-07,0.0
25,24.059646606445312,4.363756519978204e-07,2.0118434455265927e-06
26,25.02203369140625,3.2062098435193525e-07,0.0
27,25.984418869018555,2.358791982970641e-07,0.0
28,26.94680404663086,1.4917145661386955e-07,0.0
29,27.909191131591797,1.0308794592242062e-07,0.0
30,28.8715763092041,6.748752575942269e-08,0.0
31,29.83396339416504,4.084204637180647e-08,0.0
32,30.796348571777344,2.773764646641402e-08,0.0
33,31.75873374938965,2.0748633183538045e-08,0.0
34,32.72111892700195,1.5288436256179895e-08,0.0
35,33.68350601196289,7.862624360321089e-09,0.0
36,34.64589309692383,5.678584546708392e-09,0.0
37,35.6082763671875,1.9656560900802723e-09,0.0
38,36.57066345214844,1.5288436256179897e-09,0.0
39,37.533050537109375,1.3104373933868482e-09,0.0
40,38.49543762207031,1.7472567836025818e-09,0.0
41,39.457820892333984,6.552186966934241e-10,0.0
42,40.42020797729492,1.3104373933868482e-09,0.0
43,41.38259506225586,6.552212938509682e-10,0.0
44,42.34497833251953,2.1840623223114137e-10,0.0
45,43.30736541748047,0.0,0.0
46,44.269752502441406,6.552212938509682e-10,0.0
47,45.23213577270508,4.3681246446228275e-10,0.0
48,46.194522857666016,0.0,0.0
49,47.15690994262695,2.1840709795032273e-10,0.0
50,48.119293212890625,0.0,0.0
